company_id,record_ids,employer_name,fair_days,fair_day_count,is_multi_day_company,website,company_careers_website,description,positions_recruited,degree_levels_recruited,academic_years_recruited,academic_year_recruitment_notes,degrees_majors_recruited,work_authorization_sponsorship,work_authorization_notes,sponsorship_flag,sponsorship_status,sponsorship_basis,sponsorship_evidence,regions_recruited,accept_hardcopy_resumes,role_titles,role_source_url,role_last_checked
sequence_inc,sequence_inc__monday,Sequence Inc,Monday,1,False,https://sequenceqcs.com/,https://jobs.dayforcehcm.com/en-US/sequenceqcs/CANDIDATEPORTAL,"At Sequence, we partner with BioPharma companies to bring life-changing therapies to market, faster and safer. We build high-impact teams of engineering consultants specializing in CQV, engineering, and digital transformation across the drug lifecycle. What sets us apart is our focus on people. We invest in our consultants through training, mentorship, and clear career paths—ensuring they’re prepared to thrive in fast-paced GMP environments.",Full-Time,"Bachelors, Masters","Fourth year + undergraduate student, Masters level student, Second year undergraduate student, Third year undergraduate student, First year undergraduate student","We are looking for soon to be graduated students who are looking for FTE, also want to connect with underclassman to continue to build a relationship","Bachelors Chemical Engineering, Bachelors Biomedical Engineering, Bachelors Engineering (undeclared), Bachelors Engineering, Bachelors Mechanical Engineering, Masters Biomedical Engineering, Masters Chemical Engineering, Masters Mechanical Engineering",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,"Northeast, Southeast",True,,,
shape_corp,shape_corp__monday,Shape Corp,Monday,1,False,https://www.shapecorp.com/,https://www.shapecorp.com/careers/,"As a full service, tier-one automotive and industrial component supplier, our engineering teams design, test and analyze metal, plastic and hybrid components and systems. From black box design to customer design optimization, Shape gives you a formidable resource in today’s most challenging markets. You provide the vision, we provide the solution.","Internship, Co-op",Bachelors,"Third year undergraduate student, Second year undergraduate student, First year undergraduate student, Fourth year + undergraduate student",,"Bachelors Electrical Engineering, Bachelors Engineering, Bachelors Engineering (undeclared), Bachelors Industrial and Operations Engineering, Bachelors Materials Science and Engineering, Bachelors Mechanical Engineering","Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.), Authorized to work in the United States and WILL NOT require future sponsorship",,Maybe,Potential (work-auth only),work_authorization_sponsorship,"Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.), Authorized to work in the United States and WILL NOT require future sponsorship",Midwest,True,,,
siemens,siemens__monday,Siemens,Monday,1,False,https://www.sw.siemens.com/en-US/,https://www.sw.siemens.com/en-US/careers/student-programs-and-early-careers/,"Siemens Digital Industries Software (DISW) helps organizations of all sizes digitally transform using software solutions that span the entire product lifecycle—from design and simulation to manufacturing and operations. Our portfolio, including NX, Teamcenter, and Mendix, enables innovation through digital twins and smart automation.","Full-Time, Internship","Bachelors, Masters","Fourth year + undergraduate student, Masters level student",,"Bachelors Aerospace Engineering, Bachelors Biomedical Engineering, Bachelors Chemical Engineering, Bachelors Computer Engineering, Bachelors Computer Science, Bachelors Electrical Engineering, Bachelors Engineering, Bachelors Industrial and Operations Engineering, Bachelors Mechanical Engineering, Bachelors Naval Architecture and Marine Engineering, Bachelors Robotics, Bachelors Space Science and Engineering, Masters Aerospace Engineering, Masters Biomedical Engineering, Masters Chemical Engineering, Masters Computer Science and Engineering, Masters Electrical and Computer Engineering, Masters Electrical Engineering, Masters Electrical Engineering-Systems, Masters Mechanical Engineering, Masters Industrial and Operations Engineering",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,Midwest,False,,,
soils_and_structures_inc,soils_and_structures_inc__tuesday,"Soils & Structures, Inc.",Tuesday,1,False,https://soilsandstructures.com/,https://soilsandstructures.com/careers/,"We are a Michigan-based engineering & consulting firm that specializes in Geotechnical Engineering, Structural Engineering, Pavement Design Services, and Construction Materials Testing.","Co-op, Internship","Bachelors, Masters, Doctoral","First year undergraduate student, Fourth year + undergraduate student, Masters level student, Recent Alumni (up to two years post graduation), Second year undergraduate student, Third year undergraduate student, Doctoral level student","We are open to any academic year, but typically select freshman, sophomore, and juniors for internship roles.","Bachelors Civil Engineering, Bachelors Engineering, Bachelors Environmental Engineering, Masters Civil Engineering, Masters Construction Engineering and Management, Doctoral Civil Engineering, Masters Structural Engineering","Authorized to work in the United States and WILL NOT require future sponsorship, Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.)",,Maybe,Potential (work-auth only),work_authorization_sponsorship,"Authorized to work in the United States and WILL NOT require future sponsorship, Work visa that will require future sponsorship (e.g., OPT, CPT, J1, etc.)","Midwest, Northeast, Southeast, West",True,,,
spalding_dedecker,spalding_dedecker__monday,Spalding DeDecker,Monday,1,False,www.sda-eng.com,https://sda-eng.com/careers/,"Spalding DeDecker is a Michigan based employee owned consulting civil engineering and surveying firm with national reach. Our core services include infrastructure, land development, transportation, survey mapping and 3D scanning, construction surveying and inspection for both private and public clients. Our collaborative hands on work environment and company culture, combined with our use of current technology in both the field and the office, creates our purpose of creating practical and sustainable engineering and surveying solutions for our clients and communities - while at the same time allowing our employees to grow in a supportive mentored environment.","Full-Time, Internship","Bachelors, Masters","First year undergraduate student, Fourth year + undergraduate student, Masters level student, Second year undergraduate student, Third year undergraduate student","Open to all undergraduates, Master, and alumni","Bachelors Civil Engineering, Bachelors Environmental Engineering, Masters Civil Engineering, Masters Construction Engineering and Management, Masters Environmental Engineering",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,Midwest,True,,,
spectrum,spectrum__tuesday,Spectrum,Tuesday,1,False,https://jobs.spectrum.com/university-and-early-career,https://jobs.spectrum.com/university-and-early-career,"We are a connectivity company for everyone: families, businesses of all sizes and communities that count on our secure, state-of-the-art broadband network every minute of every day. Spectrum’s connectivity products – Spectrum Internet, Mobile, streaming and linear Video, and Voice – seamlessly converge to power our customers' digital lives however, wherever and whenever they want. And with our first-of-its-kind Customer Commitment and 24/7 U.S.-based customer support, we put our customers first and are always available if they need us. We operate in 41 states with services available to nearly 57 million homes and businesses in markets of all demographics and sizes. As the country’s largest and fastest-growing rural internet provider, we’re doing our part to help close the digital divide by increasing access to affordable broadband which improves lives, transforms businesses and creates unlimited possibilities.",Internship,Bachelors,Third year undergraduate student,December 2026-May 2027 graduates,"Bachelors Computer Engineering, Bachelors Computer Science, Bachelors Data Science, Bachelors Electrical Engineering",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,"Midwest, Northeast, Southeast, West, Southwest",False,,,
spicer_group_inc,spicer_group_inc__monday,"Spicer Group, Inc.",Monday,1,False,spicergroup.com,spicergroup.com/careers,"Multi-disciplined Civil/Environmental Engineering, Construction, Survey and Planning firm","Full-Time, Internship","Bachelors, Masters","First year undergraduate student, Fourth year + undergraduate student, Masters level student, Second year undergraduate student, Third year undergraduate student",,"Bachelors Civil Engineering, Bachelors Environmental Engineering, Masters Civil Engineering, Masters Environmental Engineering",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,Midwest,True,,,
steel_dynamics_inc,steel_dynamics_inc__tuesday,"Steel Dynamics, Inc.",Tuesday,1,False,https://www.steeldynamics.com/,https://www.steeldynamics.com/careersnew/,"As a diversified, vertically integrated metals company, we are proud of the people who work with us, and the products we produce. We believe having the right people in the right place will always remain our greatest asset. Our employees create value for our customers and ultimately drive our success. Individuals in each of our facilities share several common traits.","Full-Time, Internship","Bachelors, Masters","First year undergraduate student, Fourth year + undergraduate student, Masters level student, Recent Alumni (up to two years post graduation), Second year undergraduate student, Third year undergraduate student",,"Bachelors Chemical Engineering, Bachelors Civil Engineering, Bachelors Computer Engineering, Bachelors Computer Science, Bachelors Data Science, Bachelors Electrical Engineering, Bachelors Engineering (undeclared), Bachelors Environmental Engineering, Bachelors Industrial and Operations Engineering, Bachelors Materials Science and Engineering, Bachelors Mechanical Engineering, Bachelors Nuclear Engineering and Radiological Sciences, Bachelors Robotics, Masters Automotive Engineering, Masters Chemical Engineering, Masters Civil Engineering, Masters Computer Science and Engineering, Masters Construction Engineering and Management, Masters Data Science, Masters Design Science, Masters Electrical and Computer Engineering, Masters Electrical Engineering, Masters Electrical Engineering-Systems, Masters Energy Systems Engineering, Masters Environmental Engineering, Masters Global Automotive and Manufacturing Engineering, Masters Industrial and Operations Engineering, Masters Manufacturing, Masters Materials Science and Engineering, Masters Mechanical Engineering, Masters Nuclear Engineering and Radiological Sciences, Masters Robotics, Masters Structural Engineering, Masters Systems Engineering and Design",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,"Midwest, Northeast, Southwest, Southeast, West",True,,,
steelcase,steelcase__tuesday,Steelcase,Tuesday,1,False,https://www.steelcase.com/,https://careers.steelcase.com/,"For over a century, we have designed, manufactured and partnered with the world’s leading organizations to create an expansive range of furnishings and solutions for all the places where work happens — including learning, health and working from home.","Internship, Co-op","Bachelors, Masters","Masters level student, Second year undergraduate student, Third year undergraduate student",N/A',"Bachelors Civil Engineering, Bachelors Computer Engineering, Bachelors Computer Science, Bachelors Data Science, Bachelors Electrical Engineering, Bachelors Engineering (undeclared), Bachelors Engineering Physics, Bachelors Environmental Engineering, Bachelors Industrial and Operations Engineering, Bachelors Materials Science and Engineering, Bachelors Mechanical Engineering, Masters Advanced Medical Product Engineering & Development, Masters Applied Climate, Masters Applied Physics, Masters Automotive Engineering, Masters Civil Engineering, Masters Computer Science and Engineering, Masters Construction Engineering and Management, Masters Data Science, Masters Design Science, Masters Electrical and Computer Engineering, Masters Electrical Engineering, Masters Electrical Engineering-Systems, Masters Energy Systems Engineering, Masters Engineering Education Research, Masters Environmental Engineering, Masters Global Automotive and Manufacturing Engineering, Masters Industrial and Operations Engineering, Masters Macromolecular Science and Engineering, Masters Manufacturing, Masters Materials Science and Engineering, Masters Mechanical Engineering, Masters Naval Architecture and Marine Engineering, Masters Nuclear Engineering and Radiological Sciences, Masters Robotics, Masters Smart Infrastructure Finance, Masters Space Engineering, Masters Structural Engineering, Masters Systems Engineering and Design",Authorized to work in the United States and WILL NOT require future sponsorship,N/A',No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,Midwest,True,,,
stellantis,stellantis__tuesday,Stellantis,Tuesday,1,False,www.Stellantis.com,https://careers.stellantis.com/global-students/,"Stellantis is a multinational automotive manufacturing corporation formed in January 2021 through the merger of Fiat Chrysler Automobiles (FCA) and Groupe PSA. Some of our iconic brands include Fiat, Jeep, Ram, Dodge, Chrysler, Alfa Romeo, and Maserati.","Full-Time, Internship","Bachelors, Masters","First year undergraduate student, Fourth year + undergraduate student, Second year undergraduate student, Third year undergraduate student, Recent Alumni (up to two years post graduation), Masters level student",,"Bachelors Aerospace Engineering, Bachelors Chemical Engineering, Bachelors Computer Engineering, Bachelors Computer Science, Bachelors Data Science, Bachelors Electrical Engineering, Bachelors Engineering (undeclared), Bachelors Industrial and Operations Engineering, Bachelors Mechanical Engineering, Bachelors Robotics",Authorized to work in the United States and WILL NOT require future sponsorship,,No,No,default_no_explicit_sponsorship,Authorized to work in the United States and WILL NOT require future sponsorship,Midwest,True,,,
